"Mon","Lun"
"Tue","Mar"
"Wed","Mer"
"Thu","Jeu"
"Fri","Ven" 
"Sat","Sam"
"Sun","Dim"

"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi" 
"Saturday","Samedi"
"Sunday","Dimanche"

"January","Janvier"
"Februar","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"Jully","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"

"Your pickup time: ","Votre heure de retrait "
"Your pickup date: ","Votre date de retrait "
"Pickup Date/time"," Retrait Date/Heure"

"Prefered day","Préférence du jour"
"Prefered time","Préférence de l'heure"

"Today","Aujourd'hui"
