"Get Directions","Obtenir l\'itinéraire"
"Show on Google Map","Voir sur Google Map"
"From","depuis"
"No store located","Aucun magasin à proximté"
"You are here","Vous êtes ici"
"The closest store is","Le magasin le plus près est"
"No result found.","Aucun résultat pour votre recherche."
"Unable to find your location","Impossible de vous localiser"
"Distance calculation failed","Impossible de calculer les distances"
"show my location","montrer mon emplacement"
"change my location","changer mon emplacement"
"Your location","Votre emplacement"
"Find me","Go"
"Enter your location (city, address, zipcode...)","Préciser votre emplacement(ville, adresse,...)"
"Set a new location","Choisir un emplacement"
"Your directions","Votre itinéraire"
"Close","Fermer"
"Print","imprimer"
"Searching your location","Recherche de votre emplacement"
"All our store locations","Tous nos magasins"
"Select a country :","Choisir un pays"
"All countries","Tous les pays"
"The nearest store is","Le magasin le plus proche" 
